,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
10495,SF003605120,"TAUNG, SF",-27.55,24.767,1100.0,2022-12-21,0.0,25.3,32.4,14.2,-10.29391412331503,-0.6192526623708299,-1.5002075460725453,0,Solar
11745,SFM00068842,"PORT ELIZABETH INTERNATIONAL, SF",-33.985,25.617,68.9,2022-10-11,0.0,21.4,29.4,16.7,-7.5096667694273815,0.7906176463980009,-2.5465892169689046,0,Solar
212,SF001447910,"NOUPOORT, SF",-31.183,24.95,1496.0,2023-03-20,0.0,19.9,30.9,11.6,-5.722311111006004,-2.350687454459801,1.2191197750715956,0,Solar
4615,SF003174470,"UPINGTON AGR., SF",-28.45,21.25,794.0,2023-02-12,0.0,29.3,37.6,20.3,-18.835628533854976,1.1804845854407862,-3.3658793119920056,0,Solar
7165,SFM00068242,"MAFIKENG, SF",-25.798,25.548,1274.4,2022-12-08,0.0,20.7,30.0,14.4,-6.633825293168602,-0.6045321244809609,-0.8774238479134948,0,Solar
9254,SF004371040,"POTCHEFSTROOM, SF",-26.733,27.067,1351.0,2022-12-10,2.0,20.2,25.2,15.4,-3.0568289045357817,2.989085250514688,-2.40325448706876,0,Solar
11338,SF001130250,"FRASERBURG, SF",-31.917,21.517,1268.0,2022-12-30,0.0,19.6,27.2,8.2,-1.1105413479872073,-2.7043300516160844,1.0360946808851361,0,Solar
4766,SFM00068461,"BETHLEHEM, SF",-28.248,28.336,1695.0,2022-10-05,0.0,20.7,30.7,10.1,-5.193682053293057,-2.813969545667322,1.4759879621709129,0,Solar
10719,SF003211100,"POSTMASBURG, SF",-28.333,23.067,1321.0,2022-10-20,0.0,24.2,34.5,19.0,-13.726822466620312,0.6493377968067248,-2.1930236729806905,0,Solar
3993,SF000570480,"GRAHAMSTOWN, SF",-33.283,26.5,642.0,2022-11-21,0.0,17.8,28.9,9.5,-2.32380234174004,-3.0394815325622946,2.059266712837775,0,Solar
1954,SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,2022-12-28,0.0,21.7,31.4,15.0,-8.419598747338354,-0.6126193887830166,-0.8633944550896875,0,Solar
